Year,Video Views
2011-04-04T05:00:50Z,3208131
2011-02-23T06:28:38Z,2187843
2011-02-14T05:32:11Z,206104
2011-02-14T05:19:09Z,87331
2011-02-14T05:05:59Z,114523
2011-02-14T04:59:38Z,47822
2011-02-14T04:39:17Z,113519
2011-02-14T04:33:28Z,405447
2011-02-14T04:08:07Z,47815
2011-02-14T03:50:44Z,116910
2011-02-14T03:04:11Z,77576
2011-02-14T03:00:29Z,50997
2011-01-06T17:52:21Z,939018
2010-10-25T20:02:56Z,1452674
2010-10-19T23:10:37Z,386528
2010-06-02T18:44:29Z,540117
2010-04-26T19:58:31Z,5615239
2010-04-26T14:44:40Z,1514548
2010-04-24T03:58:16Z,1000396
2010-04-02T03:59:52Z,334551
2010-04-01T15:38:34Z,1045912
2010-03-25T16:19:23Z,869458
2010-03-12T16:10:46Z,1318531
2010-03-01T01:21:07Z,892853
2009-11-02T22:00:19Z,921426
2009-10-01T18:26:46Z,642475
2009-09-09T20:04:29Z,939889
2009-08-19T16:34:06Z,1103356
2009-08-11T03:49:48Z,438911
2009-05-08T17:02:16Z,5665993
2009-05-07T19:02:07Z,2963911
2009-04-24T21:26:31Z,1018585
2009-03-06T00:20:07Z,640555
2009-03-05T23:28:03Z,2868986
2008-11-25T18:35:47Z,801404
2008-11-17T21:25:40Z,3195952
2008-11-17T20:58:44Z,698965
2008-11-17T20:43:59Z,1491472
2008-11-17T20:35:15Z,348262
2008-11-17T20:32:42Z,494173
2008-11-17T19:55:46Z,790933
2008-09-02T17:53:24Z,303414
2008-08-17T22:26:08Z,999896
2008-06-26T23:02:37Z,675293
2008-06-26T22:05:00Z,621249
2008-06-26T21:58:19Z,837052
2008-06-26T21:55:43Z,337626
2008-06-26T21:15:51Z,742898
2008-06-26T21:02:39Z,1217405
2008-06-26T20:51:09Z,805812
2008-06-26T15:47:41Z,7313288
